customer_id,name,age,gender,location,salary,signup_date,referral_source,customer_status,preferred_device,avg_session_time,app_version,total_purchases,total_spend
32,Customer_32,33,Non-binary,Tier 1,23446.47,2024-11-23 00:07:28.144311,Referral,Inactive,Tablet,19.33,v1.0.2,10,2853.66
33,Customer_33,20,Male,Metro,104693.02,2024-11-12 00:07:28.144311,Social Media,Active,Desktop,14.43,v1.2.1,2,268.28
34,Customer_34,43,Male,Tier 1,108609.78,2024-11-21 00:07:28.144311,Referral,Active,Tablet,22.42,v1.7.3,3,283.08
35,Customer_35,26,Non-binary,Metro,115114.21,2024-11-19 00:07:28.144311,Ad Campaign,Active,Desktop,28.27,v1.0.6,12,2819.73
36,Customer_36,52,Male,Tier 1,137331.88,2024-10-24 00:07:28.144311,Social Media,Inactive,Tablet,12.44,v3.0.3,11,3185.99
37,Customer_37,36,Male,Tier 2,144384.12,2024-11-03 00:07:28.144311,Referral,Active,Mobile,7.29,v1.3.4,3,859.65
38,Customer_38,33,Male,Tier 2,31856.79,2024-11-13 00:07:28.144311,Ad Campaign,New,Desktop,6.4,v3.6.1,14,1200.47
39,Customer_39,27,Female,Rural,132692.93,2024-12-18 00:07:28.144311,Ad Campaign,Active,Tablet,14.92,v3.1.4,4,433.23
40,Customer_40,25,Male,Metro,134446.8,2024-12-08 00:07:28.144311,Referral,Inactive,Mobile,23.83,v2.2.5,6,936.33
41,Customer_41,43,Non-binary,Tier 2,76478.74,2024-11-10 00:07:28.144311,Organic,Active,Tablet,6.41,v1.8.6,0,0.0
42,Customer_42,45,Female,Metro,68733.18,2024-11-30 00:07:28.144311,Social Media,Active,Mobile,29.08,v1.4.5,10,2797.79
43,Customer_43,53,Non-binary,Tier 2,146009.33,2024-12-07 00:07:28.144311,Referral,Active,Tablet,12.36,v1.4.5,2,550.58
44,Customer_44,28,Female,Rural,27522.31,2024-10-10 00:07:28.144311,Social Media,Active,Tablet,9.7,v2.7.1,4,1174.39
45,Customer_45,44,Female,Tier 2,89692.53,2024-11-22 00:07:28.144311,Organic,Inactive,Mobile,8.33,v3.5.1,18,4165.74
46,Customer_46,64,Male,Tier 1,30757.29,2024-11-25 00:07:28.144311,Ad Campaign,Active,Mobile,5.66,v1.5.0,17,5045.92
47,Customer_47,66,Non-binary,Metro,117445.18,2024-09-27 00:07:28.144311,Ad Campaign,Inactive,Mobile,25.96,v2.8.2,0,0.0
48,Customer_48,23,Male,Metro,149963.3,2024-12-22 00:07:28.144311,Organic,Active,Mobile,28.62,v2.2.0,13,1316.4
49,Customer_49,18,Non-binary,Metro,98802.7,2024-10-24 00:07:28.144311,Organic,Active,Tablet,13.95,v3.1.5,2,360.08
50,Customer_50,29,Male,Tier 1,145836.59,2024-10-29 00:07:28.144311,Organic,Active,Desktop,15.51,v1.4.1,10,1032.41
51,Customer_51,55,Female,Tier 1,99051.42,2024-10-04 00:07:28.144311,Ad Campaign,Active,Desktop,27.6,v1.5.0,14,2087.9
52,Customer_52,59,Non-binary,Metro,143437.68,2024-12-21 00:07:28.144311,Ad Campaign,Inactive,Tablet,24.22,v1.1.5,1,132.19
53,Customer_53,60,Non-binary,Rural,64403.22,2024-12-02 00:07:28.144311,Referral,Active,Desktop,8.47,v1.2.2,17,3408.23
54,Customer_54,68,Non-binary,Metro,41961.56,2024-11-13 00:07:28.144311,Organic,New,Tablet,8.02,v1.1.0,13,1722.82
55,Customer_55,44,Male,Tier 1,123923.35,2024-09-30 00:07:28.144311,Referral,Active,Desktop,28.02,v1.0.3,0,0.0
56,Customer_56,52,Male,Rural,47215.41,2024-10-30 00:07:28.144311,Ad Campaign,Active,Desktop,18.28,v2.7.2,6,1330.75
57,Customer_57,40,Female,Tier 2,89174.75,2024-12-07 00:07:28.144311,Ad Campaign,Active,Desktop,11.06,v1.6.4,9,1718.92
58,Customer_58,34,Non-binary,Tier 1,62574.66,2024-11-11 00:07:28.144311,Organic,Inactive,Mobile,21.98,v3.8.1,14,2744.7
59,Customer_59,39,Female,Tier 2,116907.13,2024-10-03 00:07:28.144311,Ad Campaign,Active,Tablet,27.49,v2.7.5,4,1133.69
60,Customer_60,39,Male,Tier 1,67496.39,2024-12-21 00:07:28.144311,Ad Campaign,Active,Tablet,25.15,v3.8.6,2,362.26
61,Customer_61,57,Male,Rural,149643.22,2024-12-19 00:07:28.144311,Ad Campaign,Active,Desktop,26.64,v2.5.0,5,1085.8
62,Customer_62,19,Non-binary,Tier 2,94309.65,2024-11-04 00:07:28.144311,Organic,Active,Tablet,29.2,v3.3.0,19,2101.45
63,Customer_63,64,Male,Tier 1,119811.34,2024-11-17 00:07:28.144311,Organic,Active,Desktop,17.03,v3.2.0,5,670.76
64,Customer_64,27,Male,Tier 2,91359.86,2024-12-23 00:07:28.144311,Organic,Active,Mobile,8.47,v1.0.8,10,1682.92
65,Customer_65,55,Non-binary,Tier 2,65352.87,2024-11-06 00:07:28.144311,Organic,Inactive,Tablet,8.11,v3.8.1,11,1592.88
66,Customer_66,18,Female,Rural,129437.74,2024-10-14 00:07:28.144311,Referral,Active,Tablet,24.99,v3.4.4,4,435.69
67,Customer_67,31,Female,Tier 1,66647.96,2024-11-13 00:07:28.144311,Organic,Active,Desktop,22.84,v3.5.0,14,2721.2
68,Customer_68,34,Male,Tier 2,69905.86,2024-10-08 00:07:28.144311,Organic,Inactive,Desktop,18.57,v2.5.2,6,1395.82
69,Customer_69,59,Non-binary,Tier 2,100609.46,2024-11-28 00:07:28.144311,Social Media,Inactive,Mobile,12.79,v1.6.0,3,577.42
70,Customer_70,27,Male,Tier 2,118102.59,2024-11-17 00:07:28.144311,Organic,Active,Mobile,8.19,v3.7.4,14,2131.34
71,Customer_71,62,Female,Tier 2,103349.19,2024-11-19 00:07:28.144311,Social Media,Active,Desktop,13.64,v3.7.5,5,751.06
72,Customer_72,64,Female,Tier 1,99943.53,2024-09-26 00:07:28.144311,Organic,Active,Tablet,20.29,v3.7.3,15,3362.44
73,Customer_73,54,Non-binary,Tier 1,120262.07,2024-11-24 00:07:28.144311,Ad Campaign,New,Desktop,23.41,v1.5.6,0,0.0
74,Customer_74,38,Female,Tier 1,44221.71,2024-09-29 00:07:28.144311,Organic,Active,Tablet,17.97,v3.4.8,8,811.16
75,Customer_75,43,Male,Tier 2,71761.93,2024-11-30 00:07:28.144311,Ad Campaign,Inactive,Tablet,16.64,v3.1.0,10,582.12
76,Customer_76,68,Female,Rural,95092.15,2024-11-03 00:07:28.144311,Ad Campaign,New,Mobile,14.06,v3.5.1,16,1512.14
77,Customer_77,37,Male,Metro,92449.7,2024-09-30 00:07:28.144311,Social Media,Active,Mobile,12.49,v1.6.2,18,2472.24
78,Customer_78,47,Male,Metro,24751.46,2024-11-25 00:07:28.144311,Social Media,Active,Tablet,12.35,v3.1.1,16,2403.05
79,Customer_79,55,Non-binary,Tier 2,33387.59,2024-12-17 00:07:28.144311,Organic,New,Desktop,14.33,v2.2.1,0,0.0
80,Customer_80,45,Female,Tier 2,105660.11,2024-10-21 00:07:28.144311,Organic,Active,Desktop,21.8,v1.7.5,14,2693.05
81,Customer_81,68,Male,Rural,50963.76,2024-11-21 00:07:28.144311,Referral,Active,Tablet,20.08,v2.3.3,4,341.08
82,Customer_82,31,Non-binary,Tier 2,136523.66,2024-12-18 00:07:28.144311,Ad Campaign,New,Desktop,26.2,v1.2.3,17,4643.85
83,Customer_83,64,Male,Rural,63662.56,2024-12-23 00:07:28.144311,Referral,Active,Mobile,13.63,v2.8.1,11,1153.65
84,Customer_84,39,Male,Tier 1,93550.96,2024-10-27 00:07:28.144311,Ad Campaign,Active,Mobile,17.12,v1.8.7,1,208.37
85,Customer_85,56,Male,Tier 1,103857.04,2024-12-21 00:07:28.144311,Ad Campaign,Active,Mobile,22.28,v1.5.1,9,1747.16
86,Customer_86,55,Female,Metro,72682.25,2024-10-10 00:07:28.144311,Referral,Active,Tablet,8.42,v1.5.7,1,200.13
87,Customer_87,24,Female,Metro,128953.91,2024-10-01 00:07:28.144311,Social Media,Active,Tablet,6.17,v2.0.2,3,728.24
88,Customer_88,46,Male,Tier 2,57530.19,2024-11-19 00:07:28.144311,Organic,Active,Desktop,28.73,v3.7.5,4,683.75
89,Customer_89,53,Non-binary,Rural,41061.8,2024-10-05 00:07:28.144311,Ad Campaign,Inactive,Desktop,13.36,v2.1.4,8,550.28
90,Customer_90,34,Male,Metro,111640.32,2024-11-13 00:07:28.144311,Organic,Active,Desktop,6.94,v3.5.1,11,1542.68
91,Customer_91,61,Non-binary,Tier 2,145072.84,2024-12-08 00:07:28.144311,Ad Campaign,Active,Mobile,9.63,v2.7.2,7,1468.16
92,Customer_92,34,Non-binary,Metro,109995.95,2024-10-16 00:07:28.144311,Social Media,Active,Mobile,21.17,v3.8.6,16,1522.3
93,Customer_93,38,Female,Tier 1,60671.13,2024-10-07 00:07:28.144311,Organic,Active,Desktop,28.11,v2.6.1,19,4961.61
94,Customer_94,35,Non-binary,Tier 1,103791.06,2024-12-11 00:07:28.144311,Referral,Active,Mobile,6.92,v1.7.6,11,2124.18
95,Customer_95,66,Male,Tier 1,61437.83,2024-10-04 00:07:28.144311,Organic,Inactive,Tablet,26.92,v2.6.2,9,2678.27
96,Customer_96,30,Male,Tier 1,142078.8,2024-11-16 00:07:28.144311,Ad Campaign,Active,Tablet,7.21,v2.4.8,15,4026.29
97,Customer_97,64,Male,Tier 1,31920.91,2024-10-02 00:07:28.144311,Organic,Active,Mobile,7.76,v2.7.1,3,686.66
98,Customer_98,54,Male,Rural,22323.61,2024-10-07 00:07:28.144311,Organic,Active,Mobile,21.99,v3.4.4,10,1971.39
99,Customer_99,56,Non-binary,Tier 1,98103.8,2024-10-24 00:07:28.144311,Organic,Inactive,Desktop,29.78,v3.7.3,18,3207.1
100,Customer_100,27,Non-binary,Tier 1,69931.78,2024-11-14 00:07:28.144311,Organic,Inactive,Tablet,25.02,v2.6.0,8,2255.5
101,Customer_101,66,Male,Tier 2,71511.46,2024-11-05 00:07:28.144311,Ad Campaign,Active,Desktop,25.4,v2.7.8,8,2189.84
102,Customer_102,54,Female,Tier 2,134069.91,2024-10-19 00:07:28.144311,Referral,Active,Mobile,6.11,v2.8.7,4,935.21
103,Customer_103,51,Non-binary,Tier 1,53767.99,2024-12-20 00:07:28.144311,Social Media,Active,Tablet,29.05,v1.4.0,17,2954.37
104,Customer_104,49,Female,Metro,137846.78,2024-10-19 00:07:28.144311,Social Media,Active,Desktop,26.61,v1.5.7,18,4806.72
105,Customer_105,45,Male,Tier 2,132748.25,2024-11-14 00:07:28.144311,Organic,Inactive,Mobile,28.25,v3.5.6,4,1080.87
106,Customer_106,68,Non-binary,Tier 2,20668.87,2024-11-23 00:07:28.144311,Referral,Active,Desktop,9.02,v2.6.1,12,2450.78
107,Customer_107,66,Male,Metro,35059.7,2024-10-26 00:07:28.144311,Social Media,Active,Desktop,8.21,v3.6.8,1,135.47
108,Customer_108,32,Female,Metro,33326.26,2024-10-18 00:07:28.144311,Social Media,Active,Tablet,28.68,v1.5.0,9,1515.54
109,Customer_109,39,Female,Rural,25946.46,2024-11-05 00:07:28.144311,Ad Campaign,Inactive,Mobile,16.15,v3.2.3,11,617.61
110,Customer_110,28,Male,Tier 1,68338.36,2024-11-23 00:07:28.144311,Referral,Active,Desktop,16.15,v2.1.3,16,1208.77
111,Customer_111,58,Non-binary,Tier 2,123325.24,2024-11-26 00:07:28.144311,Referral,Active,Tablet,24.32,v2.2.0,11,636.08
112,Customer_112,46,Male,Tier 2,74564.55,2024-10-27 00:07:28.144311,Social Media,Active,Mobile,16.06,v3.0.5,14,3310.43
113,Customer_113,52,Male,Metro,112940.13,2024-12-07 00:07:28.144311,Referral,Active,Desktop,29.2,v2.8.0,7,1699.11
114,Customer_114,63,Female,Rural,22322.05,2024-10-22 00:07:28.144311,Social Media,New,Tablet,20.42,v2.8.6,16,3229.23
115,Customer_115,37,Male,Tier 1,49320.22,2024-10-26 00:07:28.144311,Referral,Active,Mobile,11.72,v3.0.7,17,3741.94
116,Customer_116,35,Female,Tier 2,98002.67,2024-11-23 00:07:28.144311,Referral,Active,Mobile,28.82,v1.7.5,18,1372.19
117,Customer_117,34,Male,Tier 1,38524.42,2024-10-06 00:07:28.144311,Ad Campaign,Active,Mobile,18.99,v2.0.1,0,0.0
118,Customer_118,30,Female,Metro,127186.83,2024-11-29 00:07:28.144311,Ad Campaign,Active,Tablet,19.19,v2.1.1,9,826.84
119,Customer_119,66,Non-binary,Metro,111841.84,2024-12-19 00:07:28.144311,Organic,Inactive,Desktop,20.32,v1.1.7,7,1599.65
120,Customer_120,37,Female,Tier 2,125927.26,2024-12-18 00:07:28.144311,Referral,Inactive,Tablet,25.43,v2.2.8,9,1436.87
121,Customer_121,35,Female,Rural,52123.42,2024-12-12 00:07:28.144311,Organic,Inactive,Tablet,13.23,v2.3.7,18,1627.53
122,Customer_122,23,Female,Tier 2,49699.12,2024-10-30 00:07:28.144311,Organic,Active,Tablet,15.08,v1.5.0,6,993.93
123,Customer_123,47,Male,Tier 2,74067.96,2024-12-01 00:07:28.144311,Social Media,Active,Tablet,29.69,v2.0.2,8,1277.23
124,Customer_124,51,Female,Tier 2,137091.24,2024-12-19 00:07:28.144311,Referral,Active,Desktop,12.1,v1.2.1,7,1813.0
125,Customer_125,50,Non-binary,Tier 1,113057.25,2024-09-29 00:07:28.144311,Ad Campaign,Active,Tablet,17.82,v1.4.5,12,1911.5
126,Customer_126,64,Female,Rural,95323.94,2024-10-02 00:07:28.144311,Ad Campaign,New,Mobile,14.78,v1.1.2,4,209.03
127,Customer_127,18,Male,Tier 2,78992.64,2024-12-14 00:07:28.144311,Ad Campaign,New,Tablet,13.27,v1.8.0,4,448.71
128,Customer_128,60,Male,Metro,41715.45,2024-10-02 00:07:28.144311,Social Media,New,Mobile,13.92,v1.0.0,11,1777.51
129,Customer_129,64,Non-binary,Tier 1,46759.36,2024-10-25 00:07:28.144311,Social Media,Active,Tablet,8.07,v1.3.0,2,326.1
130,Customer_130,22,Male,Metro,96007.19,2024-12-13 00:07:28.144311,Ad Campaign,Active,Tablet,29.13,v3.1.8,17,4985.67
131,Customer_131,56,Non-binary,Rural,87027.48,2024-11-05 00:07:28.144311,Referral,Active,Desktop,5.75,v1.3.1,9,2099.02
132,Customer_132,25,Female,Metro,32207.09,2024-12-17 00:07:28.144311,Organic,Active,Mobile,29.08,v3.1.0,10,2208.12
133,Customer_133,67,Female,Metro,128014.03,2024-11-08 00:07:28.144311,Social Media,Active,Desktop,28.27,v2.3.0,0,0.0
134,Customer_134,33,Female,Metro,106706.3,2024-09-26 00:07:28.144311,Ad Campaign,Active,Tablet,20.12,v3.8.0,8,2386.67
135,Customer_135,30,Male,Metro,93712.11,2024-10-11 00:07:28.144311,Social Media,Active,Tablet,13.18,v2.2.5,1,240.57
136,Customer_136,58,Non-binary,Tier 2,132957.08,2024-12-24 00:07:28.144311,Social Media,Active,Desktop,5.14,v3.0.6,14,3134.14
137,Customer_137,46,Male,Metro,50880.74,2024-11-20 00:07:28.144311,Social Media,New,Desktop,20.09,v2.1.8,2,371.18
138,Customer_138,25,Female,Tier 1,138850.75,2024-11-29 00:07:28.144311,Organic,Active,Tablet,18.17,v3.3.6,5,1183.59
139,Customer_139,61,Non-binary,Tier 2,22370.24,2024-12-02 00:07:28.144311,Referral,New,Desktop,6.78,v3.8.3,10,1450.19
140,Customer_140,21,Male,Metro,65710.95,2024-11-21 00:07:28.144311,Ad Campaign,Active,Mobile,12.12,v3.2.7,15,1086.1
141,Customer_141,47,Female,Tier 1,55441.12,2024-12-21 00:07:28.144311,Ad Campaign,Active,Desktop,8.08,v2.6.6,16,3069.25
142,Customer_142,59,Female,Tier 2,126047.32,2024-11-11 00:07:28.144311,Social Media,Active,Desktop,28.79,v3.5.5,8,1987.49
143,Customer_143,32,Female,Rural,73433.7,2024-11-13 00:07:28.144311,Social Media,Active,Mobile,10.92,v1.3.1,18,4730.28
144,Customer_144,56,Female,Metro,32419.59,2024-11-19 00:07:28.144311,Ad Campaign,Active,Tablet,8.82,v1.2.1,0,0.0
145,Customer_145,34,Female,Rural,60595.33,2024-11-20 00:07:28.144311,Social Media,Active,Desktop,10.8,v2.8.8,1,118.64
146,Customer_146,24,Male,Tier 1,72561.44,2024-11-16 00:07:28.144311,Organic,Active,Desktop,13.53,v2.2.3,5,972.98
147,Customer_147,56,Male,Tier 1,54436.41,2024-11-19 00:07:28.144311,Referral,Active,Mobile,10.67,v1.6.3,12,2157.18
148,Customer_148,19,Male,Rural,50382.57,2024-12-04 00:07:28.144311,Social Media,Inactive,Tablet,22.0,v1.2.5,5,315.42
149,Customer_149,61,Female,Tier 1,92511.84,2024-09-29 00:07:28.144311,Ad Campaign,Active,Tablet,19.06,v1.8.6,15,2285.54
150,Customer_150,47,Male,Tier 2,118301.23,2024-12-08 00:07:28.144311,Social Media,Active,Desktop,28.18,v1.6.2,7,385.05
151,Customer_151,37,Male,Metro,107302.6,2024-10-02 00:07:28.144311,Ad Campaign,Active,Desktop,26.62,v1.5.3,1,65.78
152,Customer_152,53,Male,Tier 2,54204.63,2024-10-20 00:07:28.144311,Organic,New,Desktop,10.98,v1.2.3,3,805.0
153,Customer_153,23,Non-binary,Tier 1,84605.25,2024-09-30 00:07:28.144311,Social Media,Inactive,Tablet,17.53,v1.5.1,12,1741.87
154,Customer_154,41,Female,Tier 1,113784.87,2024-10-19 00:07:28.144311,Social Media,Active,Tablet,7.02,v1.2.1,1,105.9
155,Customer_155,31,Female,Rural,141255.0,2024-10-20 00:07:28.144311,Organic,Active,Mobile,28.07,v2.0.5,13,1218.23
156,Customer_156,20,Non-binary,Metro,127276.1,2024-12-12 00:07:28.144311,Organic,Active,Mobile,5.65,v1.3.3,17,2030.45
157,Customer_157,23,Male,Tier 2,100546.43,2024-10-26 00:07:28.144311,Referral,Active,Desktop,19.11,v2.8.1,10,2385.63
158,Customer_158,48,Non-binary,Metro,75943.83,2024-12-16 00:07:28.144311,Referral,New,Tablet,11.63,v3.0.3,3,897.52
159,Customer_159,34,Male,Tier 2,48704.34,2024-11-03 00:07:28.144311,Social Media,Active,Desktop,23.11,v1.3.2,6,1088.26
160,Customer_160,39,Female,Tier 2,115369.87,2024-09-30 00:07:28.144311,Organic,New,Tablet,8.35,v1.5.5,14,2737.52
161,Customer_161,40,Female,Rural,89590.32,2024-10-21 00:07:28.144311,Organic,New,Tablet,20.73,v1.1.4,12,727.9
162,Customer_162,34,Non-binary,Metro,91234.73,2024-10-23 00:07:28.144311,Organic,Inactive,Desktop,8.73,v2.3.1,19,2106.52
163,Customer_163,35,Non-binary,Metro,99830.57,2024-11-26 00:07:28.144311,Ad Campaign,Active,Tablet,27.3,v1.0.7,8,2285.66
164,Customer_164,19,Male,Metro,129313.31,2024-10-28 00:07:28.144311,Social Media,Inactive,Mobile,25.63,v3.1.7,7,747.19
165,Customer_165,34,Non-binary,Rural,134719.73,2024-10-17 00:07:28.144311,Social Media,Inactive,Desktop,22.01,v1.7.8,10,2147.59
166,Customer_166,68,Non-binary,Rural,24624.21,2024-12-05 00:07:28.144311,Organic,Active,Desktop,12.41,v3.3.2,6,1475.76
167,Customer_167,68,Non-binary,Tier 1,32791.43,2024-12-17 00:07:28.144311,Social Media,Active,Desktop,7.05,v1.7.7,8,1163.88
168,Customer_168,67,Non-binary,Metro,53203.75,2024-10-18 00:07:28.144311,Ad Campaign,New,Mobile,18.26,v2.1.4,3,369.62
169,Customer_169,57,Female,Tier 1,83182.02,2024-11-23 00:07:28.144311,Referral,Active,Tablet,8.2,v3.0.7,17,1804.62
170,Customer_170,42,Non-binary,Tier 1,77122.65,2024-09-27 00:07:28.144311,Ad Campaign,Inactive,Tablet,28.21,v3.0.7,2,435.73
171,Customer_171,47,Non-binary,Tier 2,130046.86,2024-11-08 00:07:28.144311,Ad Campaign,Active,Tablet,16.51,v2.7.6,11,698.11
172,Customer_172,39,Female,Tier 2,55013.07,2024-11-26 00:07:28.144311,Organic,Active,Mobile,22.13,v3.1.2,11,2565.2
173,Customer_173,60,Male,Metro,116645.09,2024-12-22 00:07:28.144311,Referral,Active,Desktop,22.22,v3.8.4,14,1262.97
174,Customer_174,33,Male,Rural,114440.02,2024-10-21 00:07:28.144311,Social Media,New,Tablet,21.44,v1.4.6,1,138.85
175,Customer_175,30,Male,Rural,88140.69,2024-09-26 00:07:28.144311,Ad Campaign,New,Mobile,5.28,v1.1.4,19,2502.93
176,Customer_176,68,Non-binary,Tier 2,81141.48,2024-10-03 00:07:28.144311,Organic,Active,Desktop,16.22,v2.7.5,2,168.91
177,Customer_177,55,Male,Tier 1,110430.36,2024-12-04 00:07:28.144311,Ad Campaign,Active,Mobile,14.69,v1.6.6,3,532.58
178,Customer_178,20,Male,Rural,49307.04,2024-12-21 00:07:28.144311,Social Media,Active,Tablet,19.98,v3.2.0,13,1134.25
179,Customer_179,41,Male,Rural,122036.61,2024-11-24 00:07:28.144311,Social Media,Active,Mobile,8.69,v3.0.6,0,0.0
180,Customer_180,69,Male,Tier 2,124177.7,2024-11-08 00:07:28.144311,Referral,Active,Tablet,21.06,v1.5.3,19,4681.85
181,Customer_181,44,Non-binary,Tier 1,148846.44,2024-10-11 00:07:28.144311,Referral,Active,Mobile,9.61,v1.1.2,12,2700.76
182,Customer_182,47,Female,Tier 1,55499.21,2024-10-05 00:07:28.144311,Referral,Active,Mobile,6.4,v3.2.4,4,680.91
183,Customer_183,38,Female,Rural,82785.95,2024-10-16 00:07:28.144311,Ad Campaign,New,Desktop,27.6,v3.0.7,3,724.13
184,Customer_184,63,Male,Tier 2,139941.0,2024-09-27 00:07:28.144311,Social Media,New,Tablet,12.05,v3.2.6,13,1461.03
185,Customer_185,33,Female,Tier 2,78466.18,2024-10-09 00:07:28.144311,Ad Campaign,New,Mobile,26.33,v3.3.1,10,848.11
186,Customer_186,21,Female,Metro,120341.5,2024-10-16 00:07:28.144311,Referral,Active,Desktop,29.08,v3.6.4,9,2312.7
187,Customer_187,31,Male,Metro,147568.62,2024-10-04 00:07:28.144311,Organic,Active,Tablet,9.78,v1.2.2,11,1511.14
188,Customer_188,58,Male,Tier 1,113601.05,2024-10-15 00:07:28.144311,Ad Campaign,Active,Mobile,29.51,v1.1.8,6,1361.75
189,Customer_189,34,Female,Tier 1,49399.12,2024-10-21 00:07:28.144311,Ad Campaign,Active,Tablet,21.6,v1.1.1,15,2294.12
190,Customer_190,56,Female,Rural,28095.5,2024-11-15 00:07:28.144311,Ad Campaign,Inactive,Tablet,29.45,v3.0.6,19,3538.03
191,Customer_191,21,Female,Rural,87520.16,2024-10-01 00:07:28.144311,Referral,Inactive,Tablet,10.97,v1.7.0,1,66.3
192,Customer_192,20,Male,Tier 1,84715.63,2024-12-19 00:07:28.144311,Referral,Active,Mobile,14.93,v3.2.4,18,1780.24
193,Customer_193,29,Female,Rural,57327.93,2024-11-14 00:07:28.144311,Social Media,Active,Desktop,21.07,v3.7.1,9,1457.11
194,Customer_194,23,Female,Tier 2,99751.51,2024-12-22 00:07:28.144311,Referral,Active,Tablet,8.52,v1.6.7,4,932.64
195,Customer_195,65,Non-binary,Metro,77242.04,2024-10-16 00:07:28.144311,Ad Campaign,New,Mobile,25.09,v2.6.0,12,3552.33
